"service_id","date","exception_type"
"20_848_20241001","20241014","2"
"20_849_20241001","20241014","1"
"20_848_20241001","20241104","2"
"20_849_20241001","20241104","1"
"21_850_20241001","20241004","2"
"21_851_20241001","20241004","1"
"21_860_20241001","20241005","2"
"21_861_20241001","20241005","1"
"21_860_20241001","20241006","2"
"21_861_20241001","20241006","1"
"21_850_20241001","20241007","2"
"21_851_20241001","20241007","1"
"21_850_20241001","20241011","2"
"21_851_20241001","20241011","1"
"21_860_20241001","20241012","2"
"21_861_20241001","20241012","1"
"21_860_20241001","20241013","2"
"21_861_20241001","20241013","1"
"21_850_20241001","20241014","2"
"21_861_20241001","20241014","1"
"21_850_20241001","20241018","2"
"21_851_20241001","20241018","1"
"21_860_20241001","20241019","2"
"21_861_20241001","20241019","1"
"21_860_20241001","20241020","2"
"21_861_20241001","20241020","1"
"21_850_20241001","20241021","2"
"21_851_20241001","20241021","1"
"21_850_20241001","20241025","2"
"21_851_20241001","20241025","1"
"21_860_20241001","20241026","2"
"21_861_20241001","20241026","1"
"21_860_20241001","20241027","2"
"21_861_20241001","20241027","1"
"21_850_20241001","20241028","2"
"21_851_20241001","20241028","1"
"21_850_20241001","20241101","2"
"21_851_20241001","20241101","1"
"21_860_20241001","20241102","2"
"21_861_20241001","20241102","1"
"21_860_20241001","20241103","2"
"21_861_20241001","20241103","1"
"21_850_20241001","20241104","2"
"21_861_20241001","20241104","1"
"21_850_20241001","20241108","2"
"21_851_20241001","20241108","1"
"21_860_20241001","20241109","2"
"21_861_20241001","20241109","1"
"21_860_20241001","20241110","2"
"21_861_20241001","20241110","1"
"21_850_20241001","20241111","2"
"21_851_20241001","20241111","1"
"21_850_20241001","20241115","2"
"21_851_20241001","20241115","1"
"21_860_20241001","20241116","2"
"21_861_20241001","20241116","1"
"21_860_20241001","20241117","2"
"21_861_20241001","20241117","1"
"21_850_20241001","20241118","2"
"21_851_20241001","20241118","1"
"21_850_20241001","20241122","2"
"21_851_20241001","20241122","1"
"21_860_20241001","20241123","2"
"21_861_20241001","20241123","1"
"21_860_20241001","20241124","2"
"21_861_20241001","20241124","1"
"21_850_20241001","20241125","2"
"21_851_20241001","20241125","1"
"21_850_20241001","20241129","2"
"21_851_20241001","20241129","1"
"21_860_20241001","20241130","2"
"21_861_20241001","20241130","1"
"25_853_20241001","20241014","2"
"25_854_20241001","20241014","1"
"25_853_20241001","20241104","2"
"25_854_20241001","20241104","1"
"29_856_20241001","20241014","2"
"29_859_20241001","20241014","1"
"29_856_20241001","20241104","2"
"29_859_20241001","20241104","1"
"29_858_20241001","20241123","2"
"29_859_20241001","20241123","1"
