"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"25002_250475_1_910","910","JPY","0","0",
"29007_290114_1_210","210","JPY","0","0",
"29005_292011_1_430","430","JPY","0","0",
"25003_538_1_530","530","JPY","0","0",
"25002_250473_1_1020","1020","JPY","0","0",
"25002_250478_1_590","590","JPY","0","0",
"20001_200213_1_550","550","JPY","0","0",
"29007_290112_1_260","260","JPY","0","0",
"20001_200214_1_350","350","JPY","0","0",
"25004_250595_1_500","500","JPY","0","0",
"29010_290634_1_250","250","JPY","0","0",
"25002_250473_1_660","660","JPY","0","0",
"25003_537_1_120","120","JPY","0","0",
"25004_250611_1_630","630","JPY","0","0",
"20001_200212_1_210","210","JPY","0","0",
"25004_250611_1_230","230","JPY","0","0",
"20001_200214_1_460","460","JPY","0","0",
"29005_291012_1_510","510","JPY","0","0",
"25002_250478_1_880","880","JPY","0","0",
"25003_507_1_810","810","JPY","0","0",
"25002_250477_1_900","900","JPY","0","0",
"25001_250462_1_670","670","JPY","0","0",
"25003_535_1_440","440","JPY","0","0",
"20001_200214_1_520","520","JPY","0","0",
"25003_511_1_700","700","JPY","0","0",
"25003_517_1_390","390","JPY","0","0",
"25003_534_1_330","330","JPY","0","0",
"25003_535_1_690","690","JPY","0","0",
"25001_250461_1_340","340","JPY","0","0",
"21002_210026_1_310","310","JPY","0","0",
"25001_250462_1_710","710","JPY","0","0",
"25003_511_1_620","620","JPY","0","0",
"25004_250605_1_730","730","JPY","0","0",
"25003_508_1_640","640","JPY","0","0",
"25003_536_1_810","810","JPY","0","0",
"25004_250622_1_830","830","JPY","0","0",
"25003_541_1_190","190","JPY","0","0",
"25004_250641_1_410","410","JPY","0","0",
"25004_250621_1_630","630","JPY","0","0",
"29005_291022_1_180","180","JPY","0","0",
"21002_210035_1_270","270","JPY","0","0",
"25005_250912_1_240","240","JPY","0","0",
"25002_250476_1_250","250","JPY","0","0",
"29010_290636_1_240","240","JPY","0","0",
"25004_250601_1_580","580","JPY","0","0",
"25005_250932_1_300","300","JPY","0","0",
"25003_531_1_930","930","JPY","0","0",
"25002_250473_1_180","180","JPY","0","0",
"25002_250472_1_330","330","JPY","0","0",
"29007_290871_1_230","230","JPY","0","0",
"25003_546_1_600","600","JPY","0","0",
"25004_250594_1_300","300","JPY","0","0",
"29010_290635_1_340","340","JPY","0","0",
"25004_250651_1_810","810","JPY","0","0",
"25002_250476_1_640","640","JPY","0","0",
"29005_292012_1_250","250","JPY","0","0",
"21005_210332_1_290","290","JPY","0","0",
"21004_210062_1_260","260","JPY","0","0",
"25004_250612_1_200","200","JPY","0","0",
