"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"29007_290873_1","20241001","坂田町",,"新倉敷駅"
"21002_210018_1","20241001","西大寺",,"山陽学園中学・高校前"
"21002_210042_1","20241001","岡山駅",,"西大寺"
"25001_250462_1","20241001","岡山駅",,"鉾立"
"29005_292012_1","20241001","岡山駅",,"倉敷駅"
"25006_250811_1","20241001","秀天橋",,"三井E&S玉正門前"
"21005_210331_1","20241001","旭川荘",,"岡山駅"
"25002_250471_1","20241001","宇野駅",,"岡山駅"
"20001_200213_1","20241001","東区役所前",,"牛窓"
"25003_506_1","20241001","岡山駅",,"渋川・マリンホテル"
"25003_537_1","20241001","玉橋",,"岡山駅"
"29003_290552_1","20241001","倉敷駅",,"倉敷芸科大学"
"25007_2250664_1","20241001","宇野駅",,"日比市民センター前"
"25003_542_1","20241001","岡山駅",,"宇野駅"
"25003_519_1","20241001","渋川・マリンホテル",,"天満屋"
"25004_250592_1","20241001","岡山駅",,"岡山南支援学校"
"25003_574_1","20241001","玉野市役所前",,"岡山駅"
"25003_508_1","20241001","岡山駅",,"渋川・マリンホテル"
"29005_292025_1","20241001","北長瀬駅前",,"岡山駅"
"25004_250611_1","20241001","渋川三丁目",,"岡山駅"
"25004_250614_1","20241001","ダイキ岡山前",,"渋川三丁目"
"25004_250596_1","20241001","岡山駅",,"深山公園入口"
"25007_2250668_1","20241001","東児市民センター",,"玉野三井病院"
"25006_816_1","20241001","三井E&S玉正門前",,"ダイキ岡山前"
"21004_210063_1","20241001","操南台団地西",,"山陽学園中学・高校前"
"21002_210041_1","20241001","西大寺",,"岡山駅"
"29005_291092_1","20241001","岡山駅",,"川崎医大前"
"25003_517_1","20241001","渋川・マリンホテル",,"岡山駅"
"21006_211081_1","20241001","旭川荘",,"新屋敷団地高島駅前"
"25002_250475_1","20241001","宇野駅",,"岡山駅"
"25004_250862_1","20241001","三井E&S日の田正門前",,"西高崎"
"25004_250601_1","20241001","玉野市役所前",,"岡山駅"
"29008_290851_1","20241001","玉島中央町",,"新倉敷駅"
"29007_290111_1","20241001","新倉敷駅",,"ハーバーアイランド３工区"
"29010_290631_1","20241001","霞橋",,"倉敷駅"
"25003_511_1","20241001","渋川・マリンホテル",,"岡山駅"
"25003_534_1","20241001","おもちゃ王国",,"岡山駅"
"21002_210026_1","20241001","杜の街",,"西大寺"
"25007_2250686_1","20241001","深山公園道の駅",,"天王谷川公園"
"29009_290901_1","20241001","中国能開大",,"新倉敷駅北口"
"25007_2250675_1","20241001","すこやかセンター",,"玉野営業所前"
"29005_291011_1","20241001","倉敷駅",,"岡山駅"
"25007_2250697_1","20241001","深山公園道の駅",,"すこやかセンター"
"29001_290512_1","20241001","倉敷駅北口",,"倉敷駅北口"
"25003_539_1","20241001","玉橋",,"岡山ろうさい病院"
"21001_210004_1","20241001","西宝伝",,"西大寺"
"29003_290551_1","20241001","倉敷芸科大学",,"倉敷駅"
"25005_250914_1","20241001","宇野駅",,"渋川三丁目"
"25002_250476_1","20241001","岡山駅",,"宇野駅"
"29005_291021_1","20241001","中庄駅",,"岡山駅"
"25007_2250696_1","20241001","宇野駅",,"横田口"
"25004_250622_1","20241001","岡山駅",,"渋川三丁目"
"29010_290632_1","20241001","倉敷駅",,"霞橋"
"25003_546_1","20241001","玉野市役所前",,"岡山駅"
"25004_250595_1","20241001","深山公園入口",,"岡山駅"
"25005_250931_1","20241001","王子ヶ岳登山口",,"宇野駅"
"20001_200211_1","20241001","西大寺",,"牛窓"
"29009_290902_1","20241001","新倉敷駅北口",,"中国能開大"
"25007_2250685_1","20241001","深山公園道の駅",,"すこやかセンター"
"29004_290502_1","20241001","倉敷駅",,"倉敷駅"
"29005_292026_1","20241001","岡山駅",,"北長瀬駅前"
"21005_210332_1","20241001","岡山駅",,"旭川荘"
"25002_250473_1","20241001","玉野市民病院入口",,"岡山駅"
"25006_250816_1","20241001","三井E&S玉正門前",,"ダイキ岡山前"
"25005_250842_1","20241001","玉野営業所前",,"三井玉原前"
"25004_250593_1","20241001","興陽高校前",,"岡山駅"
"25007_2250681_1","20241001","東児市民センター",,"すこやかセンター"
"25007_2250676_1","20241001","すこやかセンター",,"東児市民センター"
"25003_536_1","20241001","おもちゃ王国",,"岡山駅"
"25002_250472_1","20241001","岡山駅",,"宇野駅"
"21003_210101_1","20241001","西大寺",,"岡山駅"
"25003_510_1","20241001","岡山駅",,"渋川・マリンホテル"
"25003_564_1","20241001","玉野市役所前",,"岡山駅"
"25004_250621_1","20241001","渋川三丁目",,"岡山駅"
"25004_250641_1","20241001","三井E&S玉正門前",,"岡山駅"
"25007_2250683_1","20241001","東児市民センター",,"天王谷川公園"
"25003_503_1","20241001","渋川・マリンホテル",,"岡山駅"
"25003_541_1","20241001","宇野駅",,"岡山駅"
"29005_292011_1","20241001","倉敷駅",,"岡山駅"
"21002_210033_1","20241001","益野西",,"益野西"
"25007_2250669_1","20241001","玉野三井病院",,"東児市民センター"
"21002_210072_1","20241001","西大寺",,"天満屋"
"25003_509_1","20241001","築港新町",,"渋川・マリンホテル"
"20007_200076_1","20241001","西大寺",,"東区役所前"
"21002_210035_1","20241001","益野西",,"西大寺"
"25003_538_1","20241001","岡山駅",,"玉橋"
"29007_290114_1","20241001","ハーバーアイランド３工区",,"新倉敷駅"
"21001_210003_1","20241001","西大寺",,"西宝伝"
"21002_210073_1","20241001","東区役所前",,"岡山駅"
"29005_292024_1","20241001","岡山駅",,"鉄工センター前"
"25005_250911_1","20241001","渋川三丁目",,"宇野駅"
"25007_2250674_1","20241001","すこやかセンター",,"深山公園道の駅"
"25003_533_1","20241001","おもちゃ王国",,"岡山駅"
"25004_250963_1","20241001","玉野競輪場",,"岡山駅"
"29005_292022_1","20241001","岡山駅",,"中庄駅"
"21002_210022_1","20241001","天満屋",,"西大寺"
"21004_210064_1","20241001","山陽学園中学・高校前",,"操南台団地西"
"25005_250712_1","20241001","宇野駅",,"渋川三丁目"
"25007_2250694_1","20241001","すこやかセンター",,"東児市民センター"
"21002_210025_1","20241001","西大寺",,"杜の街"
"25003_531_1","20241001","おもちゃ王国",,"岡山駅"
"25007_2250661_1","20241001","日比市民センター前",,"東児市民センター"
"29007_290874_1","20241001","新倉敷駅",,"坂田町"
"21002_210074_1","20241001","岡山駅",,"東区役所前"
"25007_2250695_1","20241001","横田口",,"宇野駅"
"21002_210014_1","20241001","岡山駅",,"昭和被服総業前"
"29005_291022_1","20241001","岡山駅",,"中庄駅"
"29007_290871_1","20241001","住友重機械西門",,"新倉敷駅"
"25007_2250682_1","20241001","すこやかセンター",,"東児市民センター"
"25004_250591_1","20241001","岡山南支援学校",,"岡山駅"
"21007_210001_1","20241001","杜の街",,"岡山駅"
"25004_250602_1","20241001","岡山駅",,"玉野市役所前"
"29004_290501_1","20241001","倉敷駅",,"倉敷駅"
